"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp","hh"
"yimts",0,48.4000015258789,5,NA,NA,NA,NA,NA,NA,NA,3615
"zv5pw",0,30.3899993896484,4,"bs138",65.5299987792969,NA,"kd0pc",67.7200012207031,NA,6,3944
"g6049",0,37.8800010681152,5,"sgf06",74.2399978637695,NA,"t469g",65.6999969482422,24.7000007629395,3,4602
"k8xte",1,64.5299987792969,5,NA,NA,NA,NA,NA,NA,NA,621
"f94i2",1,39.0299987792969,1,NA,NA,NA,NA,NA,NA,NA,2637
"mn5eb",0,58.2400016784668,6,"b14xf",88.6600036621094,NA,"dyi7h",89.9100036621094,86,4,3801
"y7iix",1,37.5400009155273,7,"pdz0p",63.1100006103516,NA,"jq736",63.2599983215332,NA,6,4727
"p9hgg",1,30.8899993896484,4,"fvbzt",61.3899993896484,NA,"c4zoh",67.7699966430664,NA,1,2638
"jpy16",1,64.9199981689453,4,NA,NA,NA,NA,NA,NA,NA,1501
"je5ri",1,45.0800018310547,1,"uufi4",78.1699981689453,NA,"pqxa5",80.2900009155273,46.0800018310547,3,2529
"l7ii6",1,69.5100021362305,7,NA,NA,NA,NA,NA,NA,NA,1638
"ssrxf",1,33.310001373291,2,NA,NA,NA,NA,NA,NA,NA,3943
"hb9g4",0,56.0099983215332,4,NA,NA,NA,NA,NA,NA,NA,1639
"oj3aa",0,52.9900016784668,5,NA,NA,NA,NA,NA,NA,NA,3931
"y4erl",1,38.7799987792969,5,"sagpu",61.1300010681152,NA,"nrl6l",66.2099990844727,NA,4,631
"ec4p1",1,61.9199981689453,4,NA,NA,NA,NA,NA,NA,NA,3820
"hst6y",0,49.25,3,NA,NA,NA,NA,NA,NA,NA,4604
"uxpd8",0,60.7799987792969,3,NA,NA,NA,NA,NA,NA,NA,3916
"slhjh",1,28.9400005340576,4,NA,NA,NA,NA,NA,NA,NA,2630
"edqcq",0,65.870002746582,3,NA,NA,NA,NA,NA,NA,NA,1615
"ns3ms",1,61.6300010681152,5,NA,NA,NA,NA,NA,NA,NA,4717
"xh8kh",0,80.1100006103516,3,NA,NA,NA,NA,NA,NA,NA,4709
"omxn2",1,24.1800003051758,1,"ntoms",52.5800018310547,49,"rlwnw",49.4199981689453,NA,4,2639
"p6m98",0,55.6100006103516,6,NA,NA,NA,NA,NA,NA,NA,3711
"of857",0,44.3199996948242,5,"dx3q5",65.6800003051758,NA,"fkcnn",66.6500015258789,NA,7,2512
"pyguc",1,62.689998626709,6,NA,NA,NA,NA,NA,NA,NA,3836
"xtie1",0,52.4199981689453,5,NA,NA,NA,NA,NA,NA,NA,2504
"eqwmr",0,36.2900009155273,4,"jvvb2",61.1199989318848,NA,"x51qr",64.5699996948242,NA,3,1515
"zjxl1",1,52.9599990844727,8,NA,NA,NA,NA,NA,NA,NA,2511
