"sex","land","kuniony","landf","uniony","idu"
1,0,"1745",0,1718,"GI0514"
2,15,"1772",78.5,1746,"HI2115"
2,0,"1774",5,1742,"GS1546"
1,0,"1773",6,1745,"PE1713"
2,224,"1861",135,1836,"VI0403"
1,0,"1793",2.5,1764,"GI1311"
1,85,"1780",80,1735,"PI1238"
1,0,"1752",0,1710,"GH0510"
2,0,"1858",7,1816,"UT0887"
1,18,"1773",142,1739,"GH0582"
1,8,"1759",77,1733,"GH1095"
2,12.1000003814697,"1852",129,1812,"LP1581"
2,300,"1845",72,1816,"EI1273"
1,0,"1763",0,1729,"PI1041"
2,0,"1844",0,1807,"GH1398"
2,0,"1805",3,1757,"PI1895"
1,10,"1796",0,1773,"UT0785"
1,0,"1767",0,1734,"PE1664"
1,0,"1816",0,1780,"UP0939A"
1,97,"1843",1,1815,"PE0993A"
2,106,"1789",46.5,1768,"PI1584"
2,129,"1794",129,1750,"UT0020"
1,0,"1802",0,1765,"PI1025"
1,0,"1768",77,1733,"GH1095"
2,70,"1773",46,1745,"CN0528"
2,0,"1812",0,1777,"EI1580"
1,0,"1771",0,1728,"PI1708"
1,0,"1797",6,1762,"EI0973"
1,0,"1794",0,1763,"UT0306"
2,158,"1783",165,1748,"UP0924"
1,0,"1795",0,1755,"GS1737"
2,0,"1771",4,1743,"VI0977"
1,0,"1864",0,1838,"GS0754"
2,0,"1752",9,1726,"GH0774"
2,0,"1759",204,1731,"GH0406"
1,0,"1819",12,1784,"GS0501"
2,15,"NA",0,1741,"HW0980"
1,5,"1811",113,1768,"LP0766"
2,0,"1799",0,1768,"UP0468"
1,9,"NA",4,1702,"GH0497"
1,44.5999984741211,"1811",74,1767,"GS0396"
2,140.5,"1759",116,1735,"HW0512"
